source,source_name,target,target_name,weight
Franky_Family,Franky Family,Nami,Nami,76
Hatchan,Hatchan,Usopp,Usopp,76
Kaku,Kaku,Roronoa_Zoro,Roronoa Zoro,76
Brook,Brook,Napoleon,Napoleon,75
Franky,Franky,Kaku,Kaku,75
Hatchan,Hatchan,Roronoa_Zoro,Roronoa Zoro,75
Kaidou,Kaidou,Monkey_D._Luffy,Monkey D. Luffy,75
Kaku,Kaku,Usopp,Usopp,75
Hattori,Hattori,Kaku,Kaku,74
Kaku,Kaku,Sanji,Sanji,74
Kouzuki_Momonosuke,Kouzuki Momonosuke,Trafalgar_D._Water_Law,Trafalgar D. Water Law,74
Charlotte_Linlin,Charlotte Linlin,Roronoa_Zoro,Roronoa Zoro,73
Franky_Family,Franky Family,Monkey_D._Luffy,Monkey D. Luffy,73
Kanjuro,Kanjuro,Kin'emon,Kin'emon,73
Franky,Franky,Franky_Family,Franky Family,72
Hattori,Hattori,Nami,Nami,72
Kaku,Kaku,Nico_Robin,Nico Robin,72
Monkey_D._Luffy,Monkey D. Luffy,Tashigi,Tashigi,72
Monkey_D._Luffy,Monkey D. Luffy,Yamato,Yamato,72
Donquixote_Doflamingo,Donquixote Doflamingo,Roronoa_Zoro,Roronoa Zoro,71
Franky_Family,Franky Family,Roronoa_Zoro,Roronoa Zoro,71
Franky_Family,Franky Family,Tony_Tony_Chopper,Tony Tony Chopper,71
Roronoa_Zoro,Roronoa Zoro,Smoker,Smoker,71
Caribou,Caribou,Monkey_D._Luffy,Monkey D. Luffy,70
Donquixote_Doflamingo,Donquixote Doflamingo,Nico_Robin,Nico Robin,70
Eustass_Kid,Eustass Kid,Roronoa_Zoro,Roronoa Zoro,70
Caesar_Clown,Caesar Clown,Nico_Robin,Nico Robin,69
Franky_Family,Franky Family,Sanji,Sanji,69
Eustass_Kid,Eustass Kid,Trafalgar_D._Water_Law,Trafalgar D. Water Law,68
Smoker,Smoker,Usopp,Usopp,68
Charlotte_Linlin,Charlotte Linlin,Jinbe,Jinbe,67
Nami,Nami,Yamato,Yamato,67
Caesar_Clown,Caesar Clown,Roronoa_Zoro,Roronoa Zoro,66
Camie,Camie,Monkey_D._Luffy,Monkey D. Luffy,66
Hattori,Hattori,Tony_Tony_Chopper,Tony Tony Chopper,66
Jinbe,Jinbe,Trafalgar_D._Water_Law,Trafalgar D. Water Law,66
Karoo,Karoo,Monkey_D._Luffy,Monkey D. Luffy,66
Nami,Nami,Smoker,Smoker,66
Crocodile,Crocodile,Nami,Nami,65
Crocodile,Crocodile,Sanji,Sanji,65
Franky_Family,Franky Family,Usopp,Usopp,65
Inuarashi,Inuarashi,Monkey_D._Luffy,Monkey D. Luffy,65
Jewelry_Bonney,Jewelry Bonney,Monkey_D._Luffy,Monkey D. Luffy,65
Monkey_D._Garp,Monkey D. Garp,Monkey_D._Luffy,Monkey D. Luffy,65
Roronoa_Zoro,Roronoa Zoro,Tashigi,Tashigi,65
Roronoa_Zoro,Roronoa Zoro,Yamato,Yamato,65
Sanji,Sanji,Smoker,Smoker,65
Caesar_Clown,Caesar Clown,Usopp,Usopp,64
Charlotte_Linlin,Charlotte Linlin,Usopp,Usopp,64
Eustass_Kid,Eustass Kid,Nami,Nami,64
Kalifa,Kalifa,Monkey_D._Luffy,Monkey D. Luffy,64
Karoo,Karoo,Nefertari_Vivi,Nefertari Vivi,64
Sanji,Sanji,Tashigi,Tashigi,64
Bartholomew_Kuma,Bartholomew Kuma,Monkey_D._Luffy,Monkey D. Luffy,63
Camie,Camie,Tony_Tony_Chopper,Tony Tony Chopper,63
Carrot,Carrot,Charlotte_Linlin,Charlotte Linlin,63
Eustass_Kid,Eustass Kid,Tony_Tony_Chopper,Tony Tony Chopper,63
Franky_Family,Franky Family,Nico_Robin,Nico Robin,63
Kalifa,Kalifa,Nami,Nami,63
Kanjuro,Kanjuro,Roronoa_Zoro,Roronoa Zoro,63
Kikunojo,Kikunojo,Monkey_D._Luffy,Monkey D. Luffy,63
Kin'emon,Kin'emon,Raizo,Raizo,63
Nami,Nami,Zeus,Zeus,63
Bartolomeo,Bartolomeo,Monkey_D._Luffy,Monkey D. Luffy,62
Caesar_Clown,Caesar Clown,Franky,Franky,62
Camie,Camie,Nami,Nami,62
Camie,Camie,Sanji,Sanji,62
Crocodile,Crocodile,Roronoa_Zoro,Roronoa Zoro,62
Donquixote_Doflamingo,Donquixote Doflamingo,Franky,Franky,62
Eustass_Kid,Eustass Kid,Sanji,Sanji,62
Franky,Franky,Hattori,Hattori,62
Kaidou,Kaidou,Roronoa_Zoro,Roronoa Zoro,62
Kikunojo,Kikunojo,Kin'emon,Kin'emon,62
Monkey_D._Luffy,Monkey D. Luffy,Raizo,Raizo,62
Monkey_D._Luffy,Monkey D. Luffy,Sabo,Sabo,62
Sanji,Sanji,Yamato,Yamato,62
Borsalino,Borsalino,Monkey_D._Luffy,Monkey D. Luffy,61
Camie,Camie,Roronoa_Zoro,Roronoa Zoro,61
Camie,Camie,Usopp,Usopp,61
Crocodile,Crocodile,Usopp,Usopp,61
Hatchan,Hatchan,Tony_Tony_Chopper,Tony Tony Chopper,61
Hattori,Hattori,Nico_Robin,Nico Robin,61
Kanjuro,Kanjuro,Monkey_D._Luffy,Monkey D. Luffy,61
Koby,Koby,Monkey_D._Luffy,Monkey D. Luffy,61
Caribou,Caribou,Sanji,Sanji,60
Eustass_Kid,Eustass Kid,Usopp,Usopp,60
Hattori,Hattori,Roronoa_Zoro,Roronoa Zoro,60
Hattori,Hattori,Sanji,Sanji,60
Inuarashi,Inuarashi,Kin'emon,Kin'emon,60
Jango,Jango,Monkey_D._Luffy,Monkey D. Luffy,60
Kaku,Kaku,Kalifa,Kalifa,60
Kalifa,Kalifa,Rob_Lucci,Rob Lucci,60
Kanjuro,Kanjuro,Usopp,Usopp,60
Marco,Marco,Monkey_D._Luffy,Monkey D. Luffy,60
Monkey_D._Luffy,Monkey D. Luffy,Rebecca,Rebecca,60
Monkey_D._Luffy,Monkey D. Luffy,Zeus,Zeus,60
Nami,Nami,Tashigi,Tashigi,60
Tony_Tony_Chopper,Tony Tony Chopper,Yamato,Yamato,60
Usopp,Usopp,Yamato,Yamato,60
Bepo,Bepo,Monkey_D._Luffy,Monkey D. Luffy,59
Boa_Hancock,Boa Hancock,Monkey_D._Luffy,Monkey D. Luffy,59
Carrot,Carrot,Jinbe,Jinbe,59
Emporio_Ivankov,Emporio Ivankov,Monkey_D._Luffy,Monkey D. Luffy,59
Kaidou,Kaidou,Nami,Nami,59
Kaidou,Kaidou,Sanji,Sanji,59
Kanjuro,Kanjuro,Nico_Robin,Nico Robin,59
Kawamatsu,Kawamatsu,Monkey_D._Luffy,Monkey D. Luffy,59
Kawamatsu,Kawamatsu,Raizo,Raizo,59
Leo,Leo,Monkey_D._Luffy,Monkey D. Luffy,59
Monkey_D._Luffy,Monkey D. Luffy,Tama,Tama,59
Brogy,Brogy,Dorry,Dorry,58
Carrot,Carrot,Roronoa_Zoro,Roronoa Zoro,58
Charlotte_Linlin,Charlotte Linlin,Kaidou,Kaidou,58
Franky,Franky,Jewelry_Bonney,Jewelry Bonney,58
Hattori,Hattori,Usopp,Usopp,58
Inuarashi,Inuarashi,Kouzuki_Momonosuke,Kouzuki Momonosuke,58
Inuarashi,Inuarashi,Roronoa_Zoro,Roronoa Zoro,58
Jewelry_Bonney,Jewelry Bonney,Sanji,Sanji,58
Jewelry_Bonney,Jewelry Bonney,Usopp,Usopp,58
Jinbe,Jinbe,Napoleon,Napoleon,58
Kalifa,Kalifa,Tony_Tony_Chopper,Tony Tony Chopper,58
Karoo,Karoo,Nami,Nami,58
Karoo,Karoo,Roronoa_Zoro,Roronoa Zoro,58
Kikunojo,Kikunojo,Raizo,Raizo,58
Monkey_D._Luffy,Monkey D. Luffy,Paulie,Paulie,58
Nami,Nami,Paulie,Paulie,58
Nami,Nami,Tama,Tama,58
Roronoa_Zoro,Roronoa Zoro,Tama,Tama,58
Smoker,Smoker,Tashigi,Tashigi,58
Tashigi,Tashigi,Usopp,Usopp,58
Capone_Bege,Capone Bege,Monkey_D._Luffy,Monkey D. Luffy,57
Franky_Family,Franky Family,Rob_Lucci,Rob Lucci,57
Inuarashi,Inuarashi,Raizo,Raizo,57
Inuarashi,Inuarashi,Tony_Tony_Chopper,Tony Tony Chopper,57
Jewelry_Bonney,Jewelry Bonney,Nami,Nami,57
Kawamatsu,Kawamatsu,Kikunojo,Kikunojo,57
Kikunojo,Kikunojo,Kouzuki_Momonosuke,Kouzuki Momonosuke,57
Kouzuki_Momonosuke,Kouzuki Momonosuke,Raizo,Raizo,57
Kyros,Kyros,Monkey_D._Luffy,Monkey D. Luffy,57
Monkey_D._Luffy,Monkey D. Luffy,Pappag,Pappag,57
Paulie,Paulie,Tony_Tony_Chopper,Tony Tony Chopper,57
Camie,Camie,Pappag,Pappag,56
Caribou,Caribou,Roronoa_Zoro,Roronoa Zoro,56
Carrot,Carrot,Usopp,Usopp,56
Jewelry_Bonney,Jewelry Bonney,Tony_Tony_Chopper,Tony Tony Chopper,56
Kaidou,Kaidou,Kouzuki_Momonosuke,Kouzuki Momonosuke,56
Kikunojo,Kikunojo,Roronoa_Zoro,Roronoa Zoro,56
Nico_Robin,Nico Robin,Smoker,Smoker,56
Raizo,Raizo,Roronoa_Zoro,Roronoa Zoro,56
Brogy,Brogy,Nami,Nami,55
Brogy,Brogy,Usopp,Usopp,55
Brook,Brook,Yamato,Yamato,55
Carrot,Carrot,Napoleon,Napoleon,55
Charlotte_Linlin,Charlotte Linlin,Prometheus,Prometheus,55
Charlotte_Linlin,Charlotte Linlin,Zeus,Zeus,55
Crocodile,Crocodile,Tony_Tony_Chopper,Tony Tony Chopper,55
Galdino,Galdino,Monkey_D._Luffy,Monkey D. Luffy,55
Inuarashi,Inuarashi,Nami,Nami,55
Inuarashi,Inuarashi,Nekomamushi,Nekomamushi,55
Kouzuki_Momonosuke,Kouzuki Momonosuke,Yamato,Yamato,55
Monkey_D._Luffy,Monkey D. Luffy,Pedro,Pedro,55
Raizo,Raizo,Tony_Tony_Chopper,Tony Tony Chopper,55
Brogy,Brogy,Monkey_D._Luffy,Monkey D. Luffy,54
Brook,Brook,Eustass_Kid,Eustass Kid,54
Buggy,Buggy,Roronoa_Zoro,Roronoa Zoro,54
Caribou,Caribou,Nami,Nami,54
Hajrudin,Hajrudin,Monkey_D._Luffy,Monkey D. Luffy,54
Helmeppo,Helmeppo,Monkey_D._Luffy,Monkey D. Luffy,54
Kaidou,Kaidou,Kin'emon,Kin'emon,54
Kanjuro,Kanjuro,Trafalgar_D._Water_Law,Trafalgar D. Water Law,54
Kawamatsu,Kawamatsu,Kin'emon,Kin'emon,54
Kouzuki_Momonosuke,Kouzuki Momonosuke,Shinobu,Shinobu,54
Monkey_D._Luffy,Monkey D. Luffy,Nekomamushi,Nekomamushi,54
Monkey_D._Luffy,Monkey D. Luffy,Queen,Queen,54
Nami,Nami,Pappag,Pappag,54
Nefertari_Vivi,Nefertari Vivi,Nico_Robin,Nico Robin,54
Nico_Robin,Nico Robin,Yamato,Yamato,54
Pappag,Pappag,Tony_Tony_Chopper,Tony Tony Chopper,54
Sanji,Sanji,Zeus,Zeus,54
Bepo,Bepo,Trafalgar_D._Water_Law,Trafalgar D. Water Law,53
Camie,Camie,Hatchan,Hatchan,53
Carrot,Carrot,Franky,Franky,53
Cavendish,Cavendish,Monkey_D._Luffy,Monkey D. Luffy,53
Charlotte_Linlin,Charlotte Linlin,Nico_Robin,Nico Robin,53
Enel,Enel,Monkey_D._Luffy,Monkey D. Luffy,53
Enel,Enel,Nami,Nami,53
Enel,Enel,Roronoa_Zoro,Roronoa Zoro,53
Hattori,Hattori,Kalifa,Kalifa,53
Jinbe,Jinbe,Yamato,Yamato,53
Kaidou,Kaidou,Tony_Tony_Chopper,Tony Tony Chopper,53
Kaidou,Kaidou,Usopp,Usopp,53
Karoo,Karoo,Usopp,Usopp,53
Kikunojo,Kikunojo,Tony_Tony_Chopper,Tony Tony Chopper,53
Monkey_D._Luffy,Monkey D. Luffy,Shanks,Shanks,53
Monkey_D._Luffy,Monkey D. Luffy,Shinobu,Shinobu,53
Napoleon,Napoleon,Prometheus,Prometheus,53
Napoleon,Napoleon,Roronoa_Zoro,Roronoa Zoro,53
Pappag,Pappag,Sanji,Sanji,53
Pappag,Pappag,Usopp,Usopp,53
Tama,Tama,Usopp,Usopp,53
Blueno,Blueno,Monkey_D._Luffy,Monkey D. Luffy,52
Capone_Bege,Capone Bege,Tony_Tony_Chopper,Tony Tony Chopper,52
Carrot,Carrot,Nico_Robin,Nico Robin,52
Crocodile,Crocodile,Nico_Robin,Nico Robin,52
Donquixote_Doflamingo,Donquixote Doflamingo,Sanji,Sanji,52
Dorry,Dorry,Nami,Nami,52
Dorry,Dorry,Usopp,Usopp,52
Enel,Enel,Tony_Tony_Chopper,Tony Tony Chopper,52
Franky,Franky,Kanjuro,Kanjuro,52
Helmeppo,Helmeppo,Koby,Koby,52
Hyougoro,Hyougoro,Monkey_D._Luffy,Monkey D. Luffy,52
Kokoro,Kokoro,Nami,Nami,52
Kokoro,Kokoro,Tony_Tony_Chopper,Tony Tony Chopper,52
Kuzan,Kuzan,Monkey_D._Luffy,Monkey D. Luffy,52
Leo,Leo,Usopp,Usopp,52
Nami,Nami,Pedro,Pedro,52
Pappag,Pappag,Roronoa_Zoro,Roronoa Zoro,52
Paulie,Paulie,Roronoa_Zoro,Roronoa Zoro,52
Pedro,Pedro,Tony_Tony_Chopper,Tony Tony Chopper,52
Portgas_D._Ace,Portgas D. Ace,Roronoa_Zoro,Roronoa Zoro,52
Caribou,Caribou,Nico_Robin,Nico Robin,51
Caribou,Caribou,Tony_Tony_Chopper,Tony Tony Chopper,51
Crocodile,Crocodile,Nefertari_Vivi,Nefertari Vivi,51
Donquixote_Doflamingo,Donquixote Doflamingo,Tony_Tony_Chopper,Tony Tony Chopper,51
Dorry,Dorry,Monkey_D._Luffy,Monkey D. Luffy,51
Edward_Newgate,Edward Newgate,Monkey_D._Luffy,Monkey D. Luffy,51
Kalifa,Kalifa,Roronoa_Zoro,Roronoa Zoro,51
Kawamatsu,Kawamatsu,Kouzuki_Momonosuke,Kouzuki Momonosuke,51
Kawamatsu,Kawamatsu,Roronoa_Zoro,Roronoa Zoro,51
Killer,Killer,Monkey_D._Luffy,Monkey D. Luffy,51
Kyros,Kyros,Rebecca,Rebecca,51
Kyros,Kyros,Usopp,Usopp,51
Nico_Robin,Nico Robin,Rebecca,Rebecca,51
Queen,Queen,Roronoa_Zoro,Roronoa Zoro,51
Smoker,Smoker,Tony_Tony_Chopper,Tony Tony Chopper,51
Tama,Tama,Tony_Tony_Chopper,Tony Tony Chopper,51
Bepo,Bepo,Usopp,Usopp,50
Buggy,Buggy,Nami,Nami,50
Caesar_Clown,Caesar Clown,Trafalgar_D._Water_Law,Trafalgar D. Water Law,50
Charlotte_Linlin,Charlotte Linlin,Franky,Franky,50
Donquixote_Doflamingo,Donquixote Doflamingo,Kin'emon,Kin'emon,50
Enel,Enel,Nico_Robin,Nico Robin,50
Eustass_Kid,Eustass Kid,Franky,Franky,50
Eustass_Kid,Eustass Kid,Killer,Killer,50
Franky,Franky,Kalifa,Kalifa,50
Franky,Franky,Yamato,Yamato,50
Inuarashi,Inuarashi,Usopp,Usopp,50
Jango,Jango,Nami,Nami,50
Jango,Jango,Usopp,Usopp,50
Jinbe,Jinbe,Kin'emon,Kin'emon,50
Kalifa,Kalifa,Nico_Robin,Nico Robin,50
Karoo,Karoo,Sanji,Sanji,50
Kokoro,Kokoro,Monkey_D._Luffy,Monkey D. Luffy,50
Kyros,Kyros,Nico_Robin,Nico Robin,50
Marshall_D._Teach,Marshall D. Teach,Monkey_D._Luffy,Monkey D. Luffy,50
Monkey_D._Luffy,Monkey D. Luffy,Riku_Doldo_III,Riku Doldo III,50
Nami,Nami,Portgas_D._Ace,Portgas D. Ace,50
Nami,Nami,Raizo,Raizo,50
Napoleon,Napoleon,Zeus,Zeus,50
Nico_Robin,Nico Robin,Tashigi,Tashigi,50
Portgas_D._Ace,Portgas D. Ace,Tony_Tony_Chopper,Tony Tony Chopper,50
Sanji,Sanji,Shinobu,Shinobu,50
Bartolomeo,Bartolomeo,Nico_Robin,Nico Robin,49
Bartolomeo,Bartolomeo,Rebecca,Rebecca,49
Bepo,Bepo,Tony_Tony_Chopper,Tony Tony Chopper,49
Brook,Brook,Inuarashi,Inuarashi,49
Brook,Brook,Jewelry_Bonney,Jewelry Bonney,49
Brook,Brook,Kaidou,Kaidou,49
Caribou,Caribou,Usopp,Usopp,49
Donquixote_Doflamingo,Donquixote Doflamingo,Nami,Nami,49
Enel,Enel,Sanji,Sanji,49
Eustass_Kid,Eustass Kid,Nico_Robin,Nico Robin,49
Jewelry_Bonney,Jewelry Bonney,Nico_Robin,Nico Robin,49
Kalifa,Kalifa,Sanji,Sanji,49
Kokoro,Kokoro,Roronoa_Zoro,Roronoa Zoro,49
Kouzuki_Momonosuke,Kouzuki Momonosuke,Nekomamushi,Nekomamushi,49
Monkey_D._Luffy,Monkey D. Luffy,Prometheus,Prometheus,49
Monkey_D._Luffy,Monkey D. Luffy,Sakazuki,Sakazuki,49
Monkey_D._Luffy,Monkey D. Luffy,Sengoku,Sengoku,49
Monkey_D._Luffy,Monkey D. Luffy,Vegapunk,Vegapunk,49
Monkey_D._Luffy,Monkey D. Luffy,Viola,Viola,49
Nico_Robin,Nico Robin,Raizo,Raizo,49
Queen,Queen,Sanji,Sanji,49
Raizo,Raizo,Usopp,Usopp,49
Sanji,Sanji,Tama,Tama,49
Tashigi,Tashigi,Tony_Tony_Chopper,Tony Tony Chopper,49
Bepo,Bepo,Nami,Nami,48
Bepo,Bepo,Roronoa_Zoro,Roronoa Zoro,48
Blueno,Blueno,Kalifa,Kalifa,48
Blueno,Blueno,Nami,Nami,48
Brook,Brook,Pedro,Pedro,48
Capone_Bege,Capone Bege,Sanji,Sanji,48
Caribou,Caribou,Franky,Franky,48
Carrot,Carrot,Pedro,Pedro,48
Franky,Franky,Inuarashi,Inuarashi,48
Franky,Franky,Kokoro,Kokoro,48
Franky,Franky,Raizo,Raizo,48
Franky_Family,Franky Family,Kaku,Kaku,48
Franky_Family,Franky Family,Mozu_and_Kiwi,Mozu and Kiwi,48
Inuarashi,Inuarashi,Kawamatsu,Kawamatsu,48
Inuarashi,Inuarashi,Kikunojo,Kikunojo,48
Jango,Jango,Roronoa_Zoro,Roronoa Zoro,48
Jinbe,Jinbe,Portgas_D._Ace,Portgas D. Ace,48
Kin'emon,Kin'emon,Nekomamushi,Nekomamushi,48
Kokoro,Kokoro,Sanji,Sanji,48
Kokoro,Kokoro,Usopp,Usopp,48
Leo,Leo,Nico_Robin,Nico Robin,48
Monkey_D._Luffy,Monkey D. Luffy,Sai,Sai,48
Nami,Nami,Shinobu,Shinobu,48
Nekomamushi,Nekomamushi,Raizo,Raizo,48
Nico_Robin,Nico Robin,Paulie,Paulie,48
Rebecca,Rebecca,Usopp,Usopp,48
Tony_Tony_Chopper,Tony Tony Chopper,Zeus,Zeus,48
Ashura_Doji,Ashura Doji,Kin'emon,Kin'emon,47
Bartolomeo,Bartolomeo,Roronoa_Zoro,Roronoa Zoro,47
Bepo,Bepo,Brook,Brook,47
